item_name,alias,category,tier,tier_ordinal,sub_tier,sub_tier_ordinal,obtainability,is_unobtainable,is_unstable,demand_status,demand_ordinal,rarity_score,popularity_score,has_detailed_record,proxy_value_score
Endbringer Armor,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Buddha Fruit,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Bat Swarm,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
5X Firework Daggers,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Mochi Trident,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Mochi Emperor's Scarf,,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Jester's Hat,JHAT,,A-,5,Mid Tier,2.0,,,,,,,,False,15.5
Cupid's Chakram,,,A-,5,Low Tier,1.0,,,,,,,,False,15.5
Radiant Shades,,,A-,5,Low Tier,1.0,,,,,,,,False,15.5
Big Mama's Cape,,,A-,5,Low Tier,1.0,,,,,,,,False,15.5
Big Mama's Outfit,Male,,A-,5,Low Tier,1.0,,,,,,,,False,15.5
Magu Fruit,,,A-,5,Low Tier,1.0,,,,,,,,False,15.5
Kraken Armor Set,Azure,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Kraken Blade,Azure,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Cupid Queen's Scarf,,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Hollow's Fang,HFANG,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Blo's Sledgehammer,,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Demon Jester's Scythe,JSCYTHE,,B+,4,High Tier,3.0,,,,,,,,False,12.4
Sea Serpent's Core & Kraken Core,,,B+,4,Mid Tier,2.0,,,,,,,,False,12.4
Helix Skewer,,,B+,4,Mid Tier,2.0,,,,,,,,False,12.4
Soul Cane,,,B+,4,Mid Tier,2.0,,,,,,,,False,12.4
Ryuma's Scarf,,,B+,4,Mid Tier,2.0,,,,,,,,False,12.4
Cupid Queen's Outfit,QFIT,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
ODM Rod,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Pika Fruit,Pika,Devil Fruit,B+,4,Low Tier,1.0,DROP,False,True,Low Demand,1.0,2.0,6.0,True,18.0
Snoozy Neko,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Pteranodon Fruit,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Tori Fruit,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Anniversary Lantern,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Elo's Sledgehammer,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Blo's Crimson Sledgehammer,,,B+,4,Low Tier,1.0,,,,,,,,False,12.4
Legendary Fruit Chest,LC,,B,3,High Tier,3.0,,,,,,,,False,9.3
Big Mama's Hat,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Roger's Outfit,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Rocky Shoulder Pet,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Cupid's Wand,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Lovestruck Rod,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Jester Box,JBOX,,B,3,High Tier,3.0,,,,,,,,False,9.3
Sunken Helmet,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Gura Fruit,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Devil Fruit Journal,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Goro Fruit,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Suna Fruit,,,B,3,High Tier,3.0,,,,,,,,False,9.3
Cupid's Bow,,,B,3,Mid Tier,2.0,,,,,,,,False,9.3
Cupid's Headband,,,B,3,Mid Tier,2.0,,,,,,,,False,9.3
Swordfish Rapier,,,B,3,Mid Tier,2.0,,,,,,,,False,9.3
Zushi Fruit,,,B,3,Mid Tier,2.0,,,,,,,,False,9.3
Goru Fruit,,,B,3,Mid Tier,2.0,,,,,,,,False,9.3
Sunken Anchor,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Santa's Bells,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Iceborn Katana,IBK,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Iceborn Rapier,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Roger's Hat,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Boneshiver,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Megalodon Helmet,,,B,3,Low Tier,1.0,,,,,,,,False,9.3
Moria's Necklace,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Mera Mera Fruit,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Smoke Fruit,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Yami Fruit,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Yuki Fruit,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Kage Fruit,,,B-,2,High Tier,3.0,,,,,,,,False,6.2
Zorana's Robe,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Zorana's Haori,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Titan of Justice's Cape,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Titan of Justice's Outfit,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Neptune's Trident,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Ashen's Cape,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Trading Sign,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Radiant Admiral's Cape,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Radiant Admiral's Outfit,,,B-,2,Mid Tier,2.0,,,,,,,,False,6.2
Megalodon Armor Set,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Kraken Armor Set,Blue,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Kraken Blade,Blue,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Resurrected Ba'al's Outfit 2.0,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Donmingo's Outfit,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Turtleback Armor,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Soul King's Tophat,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Turtleback Helmet,,,B-,2,Low Tier,1.0,,,,,,,,False,6.2
Dark Root,,,F,1,,,,,,,,,,False,3.1
SP Reset Essence,,,F,1,,,,,,,,,,False,3.1
Dominus Empyreus,Dominus,Cosmetic,F,1,,,STORE / CREW,False,True,Low Demand,1.0,9.0,0.0,True,13.0
Sparkle Time Valkyrie,Crew Store,,F,1,,,,,,,,,,False,3.1
Emerald Valkyrie,Crew Store,,F,1,,,,,,,,,,False,3.1
Ice Valkyrie,Crew Store,,F,1,,,,,,,,,,False,3.1
Violet Valkyrie,Crew Store,,F,1,,,,,,,,,,False,3.1
Blackvalk,Crew Store,,F,1,,,,,,,,,,False,3.1
