slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
dragon,Dragon,DRAGON,38723.77,34851.39,42596.14,high,Mythical,A+,Stable,0.97,1888,ratio_chain,https://gpovalues.com/item/dragon,2026-08-19T22:15:35.370524+00:00,26739,dragon
yami,Yami,YAMI,31878.78,27096.96,36660.6,medium,Legendary,B-,Low,0.49,235,ratio_chain,https://gpovalues.com/item/yami,2026-08-19T22:15:35.370524+00:00,26739,yami
devil-fruit-rod,Devil Fruit Rod,DFR,26247.3,23622.57,28872.03,high,Mythical,A,Low,0.45,1428,ratio_chain,https://gpovalues.com/item/devil-fruit-rod,2026-08-19T22:15:35.370524+00:00,26739,devil fruit rod
toji-event-item,Toji (event item),TOJI,27602.76,23462.35,31743.17,medium,Legendary,,Low,0.57,589,ratio_chain,https://gpovalues.com/item/toji-event-item,2026-08-19T22:15:35.370524+00:00,26739,toji (event item)
hollows-world-ender,Hollow's World Ender,HWE,25148.1,21375.88,28920.31,medium,Collectable,A,Stable,0.91,953,ratio_chain,https://gpovalues.com/item/hollows-world-ender,2026-08-19T22:15:35.370524+00:00,26739,hollow's world ender
cupid-queens-wings,Cupid Queen's Wings,QWINGS,22204.35,18873.69,25535.0,medium,,A-,Low,0.66,306,ratio_chain,https://gpovalues.com/item/cupid-queens-wings,2026-08-19T22:15:35.370524+00:00,26739,cupid queen's wings
sickle-of-sorrow,Sickle of Sorrow,SOS,22942.8,19501.39,26384.22,medium,Legendary,A,Low,0.61,957,ratio_chain,https://gpovalues.com/item/sickle-of-sorrow,2026-08-19T22:15:35.370524+00:00,26739,sickle of sorrow
nightfall-shroud,Nightfall Shroud,NFS,18455.44,15687.12,21223.76,medium,Collectable,A,Low,0.59,597,ratio_chain,https://gpovalues.com/item/nightfall-shroud,2026-08-19T22:15:35.370524+00:00,26739,nightfall shroud
pika,Pika,PIKA,18070.29,16263.25,19877.32,high,Legendary,B+,Low,0.53,2687,ratio_chain,https://gpovalues.com/item/pika,2026-08-19T22:15:35.370524+00:00,26739,pika
time-rift-capsule,Time-Rift Capsule,TRC,21156.77,17983.25,24330.28,medium,Epic,A,Low,0.13,480,ratio_chain,https://gpovalues.com/item/time-rift-capsule,2026-08-19T22:15:35.370524+00:00,26739,time-rift capsule
dark-skeletal-shark-mask,Dark Skeletal Shark Mask,DSSM,21751.46,18488.74,25014.18,medium,Legendary,A,Stable,1.23,301,ratio_chain,https://gpovalues.com/item/dark-skeletal-shark-mask,2026-08-19T22:15:35.370524+00:00,26739,dark skeletal shark mask
firework-lancer,Firework Lancer,FL,19024.02,16170.42,21877.62,medium,Legendary,A-,Low,0.68,239,ratio_chain,https://gpovalues.com/item/firework-lancer,2026-08-19T22:15:35.370524+00:00,26739,firework lancer
coyote-outfit,Coyote Outfit,CO,20814.1,17691.99,23936.22,medium,Legendary,A,Low,0.79,622,ratio_chain,https://gpovalues.com/item/coyote-outfit,2026-08-19T22:15:35.370524+00:00,26739,coyote outfit
kikoku,Kikoku,KIKO,21462.25,19316.02,23608.47,high,Mythical,A,Stable,0.92,1122,ratio_chain,https://gpovalues.com/item/kikoku,2026-08-19T22:15:35.370524+00:00,26739,kikoku
dark-blade,Dark Blade,DB,20814.1,18732.69,22895.51,high,Mythical,A,Low,0.71,2214,ratio_chain,https://gpovalues.com/item/dark-blade,2026-08-19T22:15:35.370524+00:00,26739,dark blade
resurrected-baals-head,Resurrected Ba'al's Head,RESHEAD,21118.85,17951.02,24286.68,medium,Legendary,A,Low,0.59,996,ratio_chain,https://gpovalues.com/item/resurrected-baals-head,2026-08-19T22:15:35.370524+00:00,26739,resurrected ba'al's head
hover-pod,Hover Pod,HPOD,21222.25,19100.02,23344.47,high,Epic,A,Stable,0.96,1127,ratio_chain,https://gpovalues.com/item/hover-pod,2026-08-19T22:15:35.370524+00:00,26739,hover pod
nightfall-half-shroud,Nightfall Half Shroud,NFHS,14122.88,11298.3,16947.45,low,Collectable,A-,Low,0.6,182,ratio_chain,https://gpovalues.com/item/nightfall-half-shroud,2026-08-19T22:15:35.370524+00:00,26739,nightfall half shroud
inferno-rocket-blade,Inferno Rocket Blade,IRB,10677.08,9075.52,12278.64,medium,Legendary,A-,Low,0.44,265,ratio_chain,https://gpovalues.com/item/inferno-rocket-blade,2026-08-19T22:15:35.370524+00:00,26739,inferno rocket blade
bat-swarm,Bat Swarm,BS,12825.48,10901.65,14749.3,medium,Legendary,B+,Stable,1.28,434,ratio_chain,https://gpovalues.com/item/bat-swarm,2026-08-19T22:15:35.370524+00:00,26739,bat swarm
mythical-fruit-chest,Mythical Fruit Chest,MC,11845.0,10660.5,13029.5,high,Mythical,A,Stable,1.11,8902,ratio_chain,https://gpovalues.com/item/mythical-fruit-chest,2026-08-19T22:15:35.370524+00:00,26739,mythical fruit chest
leprechaun-event-item,Leprechaun (event item),LEPRECHAUN,9142.86,6400.0,11885.71,low,Mythical,,,,20,ratio_chain,https://gpovalues.com/item/leprechaun-event-item,2026-08-19T22:15:35.370524+00:00,26739,leprechaun (event item)
soul-kings-guitar,Soul King's Guitar,SKG,8250.71,7013.11,9488.32,medium,Legendary,A-,Low,0.88,716,ratio_chain,https://gpovalues.com/item/soul-kings-guitar,2026-08-19T22:15:35.370524+00:00,26739,soul king's guitar
endbringer-armor,Endbringer Armor,EA,8279.01,6623.21,9934.82,low,Legendary,B,Low,0.84,156,ratio_chain,https://gpovalues.com/item/endbringer-armor,2026-08-19T22:15:35.370524+00:00,26739,endbringer armor
tori,Tori,TORI,5981.58,5383.42,6579.73,high,Mythical,A-,Low,0.73,1017,ratio_chain,https://gpovalues.com/item/tori,2026-08-19T22:15:35.370524+00:00,26739,tori
elos-sledgehammer,Elo's Sledgehammer,ES,7063.56,6004.02,8123.1,medium,Legendary,A-,Stable,1.15,293,ratio_chain,https://gpovalues.com/item/elos-sledgehammer,2026-08-19T22:15:35.370524+00:00,26739,elo's sledgehammer
snoozy-neko,Snoozy Neko,SN,5828.57,4954.28,6702.85,medium,Mythical,A-,Low,0.27,384,ratio_chain,https://gpovalues.com/item/snoozy-neko,2026-08-19T22:15:35.370524+00:00,26739,snoozy neko
legendary-fruit-chest,Legendary Fruit Chest,LC,5205.55,4685.0,5726.11,high,Legendary,B+,Low,0.62,4370,ratio_chain,https://gpovalues.com/item/legendary-fruit-chest,2026-08-19T22:15:35.370524+00:00,26739,legendary fruit chest
mochi,Mochi,MOCHI,5257.14,4731.43,5782.86,high,Mythical,A-,Stable,1.07,1626,ratio_chain,https://gpovalues.com/item/mochi,2026-08-19T22:15:35.370524+00:00,26739,mochi
buddha,Buddha,BUDDHA,3885.72,3302.85,4468.57,medium,Mythical,B+,Low,0.27,805,ratio_chain,https://gpovalues.com/item/buddha,2026-08-19T22:15:35.370524+00:00,26739,buddha
rogers-ace,Roger's Ace,ACE,3885.72,3302.85,4468.57,medium,Mythical,B+,Low,0.47,688,ratio_chain,https://gpovalues.com/item/rogers-ace,2026-08-19T22:15:35.370524+00:00,26739,roger's ace
magu,Magu,MAGU,3885.72,3302.85,4468.57,medium,Legendary,B+,Low,0.48,952,ratio_chain,https://gpovalues.com/item/magu,2026-08-19T22:15:35.370524+00:00,26739,magu
pteranodon,Pteranodon,PTERO,4434.29,3769.14,5099.43,medium,Mythical,A-,Low,0.73,956,ratio_chain,https://gpovalues.com/item/pteranodon,2026-08-19T22:15:35.370524+00:00,26739,pteranodon
ope,Ope,OPE,3715.76,3158.38,4273.12,medium,Mythical,B+,Low,0.15,938,ratio_chain,https://gpovalues.com/item/ope,2026-08-19T22:15:35.370524+00:00,26739,ope
big-mama,Big Mama,BM,4708.57,4002.28,5414.85,medium,Mythical,,Stable,1.24,410,ratio_chain,https://gpovalues.com/item/big-mama,2026-08-19T22:15:35.370524+00:00,26739,big mama
flamingo-boat,Flamingo Boat,FB,3885.72,3302.85,4468.57,medium,Rare,A,Low,0.44,465,ratio_chain,https://gpovalues.com/item/flamingo-boat,2026-08-19T22:15:35.370524+00:00,26739,flamingo boat
ito,Ito,ITO,4571.43,3885.71,5257.14,medium,Legendary,B+,Stable,0.96,288,ratio_chain,https://gpovalues.com/item/ito,2026-08-19T22:15:35.370524+00:00,26739,ito
hollows-fang,Hollow's Fang,HFANG,2857.14,2285.71,3428.57,low,Legendary,B+,High,1.92,181,ratio_chain,https://gpovalues.com/item/hollows-fang,2026-08-19T22:15:35.370524+00:00,26739,hollow's fang
true-baals-guard,True Ba'al's Guard,TBG,2428.57,2064.28,2792.85,medium,Legendary,B+,Low,0.3,304,ratio_chain,https://gpovalues.com/item/true-baals-guard,2026-08-19T22:15:35.370524+00:00,26739,true ba'al's guard
zushi,Zushi,ZUSHI,2565.81,2180.93,2950.68,medium,Legendary,B,Low,0.53,234,ratio_chain,https://gpovalues.com/item/zushi,2026-08-19T22:15:35.370524+00:00,26739,zushi
legendary-fish-bait,Legendary Fish Bait,LFB,1839.28,1655.35,2023.22,high,Rare,,Stable,1.27,1287,ratio_chain,https://gpovalues.com/item/legendary-fish-bait,2026-08-19T22:15:35.370524+00:00,26739,legendary fish bait
gura,Gura,GURA,1208.63,1027.34,1389.92,medium,Legendary,B+,Low,0.35,302,ratio_chain,https://gpovalues.com/item/gura,2026-08-19T22:15:35.370524+00:00,26739,gura
spare-fruit-bag,Spare Fruit Bag,SFB,1142.86,971.43,1314.29,medium,Rare,,Stable,0.94,380,ratio_chain,https://gpovalues.com/item/spare-fruit-bag,2026-08-19T22:15:35.370524+00:00,26739,spare fruit bag
kraken-blade,Kraken Blade,KB,1142.86,914.29,1371.43,low,Collectable,,High,2.33,140,ratio_chain,https://gpovalues.com/item/kraken-blade,2026-08-19T22:15:35.370524+00:00,26739,kraken blade
mera-mera,Mera Mera,MERA,582.91,495.48,670.35,medium,Legendary,B-,Low,0.34,378,ratio_chain,https://gpovalues.com/item/mera-mera,2026-08-19T22:15:35.370524+00:00,26739,mera mera
rare-fruit-chest,Rare Fruit Chest,RFC,253.97,203.17,304.76,low,Rare,,Low,0.4,60,ratio_chain,https://gpovalues.com/item/rare-fruit-chest,2026-08-19T22:15:35.370524+00:00,26739,rare fruit chest
special-tailor-token,Special Tailor Token,STT,2622.39,1835.68,3409.1,high,Collectable,,Low,0.38,1403,1to1_alignment,https://gpovalues.com/item/special-tailor-token,2026-08-19T22:15:35.370524+00:00,26739,special tailor token
sp-reset-essence,SP Reset Essence,SPR,148.45,118.76,178.14,low,Common,F,High,2.05,61,ratio_chain,https://gpovalues.com/item/sp-reset-essence,2026-08-19T22:15:35.370524+00:00,26739,sp reset essence
fish-bait,Fish Bait,FB,16.46,13.99,18.92,medium,,,High,1.64,267,ratio_chain,https://gpovalues.com/item/fish-bait,2026-08-19T22:15:35.370524+00:00,26739,fish bait
bounty-per-unit,Bounty (per unit),BOUNTY,0.04,0.02,0.06,high,,,,,493,,https://gpovalues.com/item/bounty-per-unit,2026-08-19T22:15:35.370524+00:00,26739,bounty (per unit)
