slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key,tier_item_name,alias,category,tier_tier,tier_ordinal,sub_tier,sub_tier_ordinal,obtainability,is_unobtainable,is_unstable,demand_status,demand_ordinal,rarity_score,popularity_score,has_detailed_record,fallback_value_score,has_tier_enrichment
dominus-ultimus,Dominus Ultimus,DU,211158.18,179484.46,242831.92,medium,Collectable,S,Low,0.25,218,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp,2026-09-03T05:30:50.111226+00:00,76168,dominus ultimus,Dominus Ultimus,,,SS,8.0,Mid Tier,2.0,,,,,,,,False,24.8,True
all-seeing-shamrock,All Seeing Shamrock,SASE,216689.27,195020.35,238358.19,high,Mythical,S,High,1.64,1708,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing shamrock,All Seeing Shamrock,,,SS,8.0,Mid Tier,2.0,,,,,,,,False,24.8,True
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,160966.18,136821.25,185111.1,medium,Collectable,S,Low,0.2,298,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp,2026-09-03T05:30:50.111226+00:00,76168,prestige firework rocket launcher,Prestige Firework Rocket Launcher,PFRL,,SS,8.0,Mid Tier,2.0,,,,,,,,False,24.8,True
jesters-outfit,Jester's Outfit,JFIT,163171.52,146854.37,179488.67,high,Collectable,S,Low,0.51,1557,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp,2026-09-03T05:30:50.111226+00:00,76168,jester's outfit,Jester's Outfit,JFIT,,SS,8.0,Mid Tier,2.0,,,,,,,,False,24.8,True
titan-shifters-aura,Titan Shifter's Aura,TSA,152588.4,137329.55,167847.22,high,,,Low,0.8,1473,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,https://gpovalues.com/images/Titan%20Shifter%27s%20Aura.webp,2026-09-03T05:30:50.111226+00:00,76168,titan shifter's aura,Titan Shifter's Aura,,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
blackvalk,Blackvalk,BLV,154139.6,123311.68,184967.51,low,Legendary,VERY_UNSTABLE,Low,0.26,196,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp,2026-09-03T05:30:50.111226+00:00,76168,blackvalk,Blackvalk,Crew Store,,F,1.0,,,,,,,,,,False,3.1,True
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,131913.76,118722.38,145105.13,high,Collectable,S,High,3.1,4675,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp,2026-09-03T05:30:50.111226+00:00,76168,leo's inferno hagoromo,Leo's Inferno Hagoromo,,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,114566.67,97381.67,131751.67,medium,Collectable,S,Low,0.36,553,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp,2026-09-03T05:30:50.111226+00:00,76168,blessed exalted cupid queen's wings,Blessed Exalted Cupid Queen's Wings,BWINGS,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
all-seeing-egg,All Seeing Egg,BLOASE,106711.46,96040.31,117382.6,high,Mythical,S,Low,0.55,1693,ratio_chain,https://gpovalues.com/item/all-seeing-egg,https://gpovalues.com/images/All%20Seeing%20Egg.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing egg,All Seeing Egg,BLO ASE,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
all-seeing-blossom,All Seeing Blossom,BLASE,109740.82,98766.73,120714.9,high,,NEW,High,5.13,2372,ratio_chain,https://gpovalues.com/item/all-seeing-blossom,https://gpovalues.com/images/All%20Seeing%20Blossom.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing blossom,,,,,,,,,,,,,,,,,False
all-seeing-baal,All Seeing Ba'al,BASE,80963.93,72867.54,89060.31,high,Mythical,S,Low,0.56,3093,ratio_chain,https://gpovalues.com/item/all-seeing-baal,https://gpovalues.com/images/All%20Seeing%20Ba%27al.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing ba'al,All Seeing Ba'al,BASE,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
all-seeing-holly,All Seeing Holly,HASE,72384.55,65146.09,79623.0,high,Mythical,S,Low,0.56,3252,ratio_chain,https://gpovalues.com/item/all-seeing-holly,https://gpovalues.com/images/All%20Seeing%20Holly.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing holly,All Seeing Holly,HASE,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
yukio-the-bunny,Yukio The Bunny,YB,68404.48,61564.03,75244.93,high,Legendary,S,Low,0.3,1054,ratio_chain,https://gpovalues.com/item/yukio-the-bunny,https://gpovalues.com/images/Yukio%20The%20Bunny.webp,2026-09-03T05:30:50.111226+00:00,76168,yukio the bunny,Yukio The Bunny,,,SS,8.0,Low Tier,1.0,,,,,,,,False,24.8,True
cupids-all-seeing-eye,Cupid's All Seeing Eye,CQASE,75569.22,68012.29,83126.13,high,Mythical,S,Low,0.82,3243,ratio_chain,https://gpovalues.com/item/cupids-all-seeing-eye,https://gpovalues.com/images/Cupid%27s%20All%20Seeing%20Eye.webp,2026-09-03T05:30:50.111226+00:00,76168,cupid's all seeing eye,Cupid's All Seeing Eye,QASE,,SS,8.0,High Tier,3.0,,,,,,,,False,24.8,True
soul-kings-scarf,Soul King's Scarf,SKS,73157.86,65842.07,80473.64,high,Collectable,A+,Low,0.66,1696,ratio_chain,https://gpovalues.com/item/soul-kings-scarf,https://gpovalues.com/images/Soul%20King%27s%20Scarf.webp,2026-09-03T05:30:50.111226+00:00,76168,soul king's scarf,Soul King's Scarf,SKS,Vanity,A+,7.0,High Tier,3.0,DROP,False,False,Stable Demand,2.0,8.0,8.0,True,34.0,True
all-seeing-eye,All Seeing Eye,ASE,67568.94,60812.05,74325.83,high,Mythical,A+,High,3.3,8091,ratio_chain,https://gpovalues.com/item/all-seeing-eye,https://gpovalues.com/images/All%20Seeing%20Eye.webp,2026-09-03T05:30:50.111226+00:00,76168,all seeing eye,All Seeing Eye,ASE,Utility Item,SS,8.0,High Tier,3.0,STORE,False,False,High Demand,3.0,4.0,8.0,True,34.0,True
thunder-club,Thunder Club,TCLUB,49986.0,44987.4,54984.6,high,,NEW,Low,0.67,2324,ratio_chain,https://gpovalues.com/item/thunder-club,https://gpovalues.com/images/Thunder%20Club.webp,2026-09-03T05:30:50.111226+00:00,76168,thunder club,,,,,,,,,,,,,,,,,False
bunyo-the-bunny,Bunyo The Bunny,BB,44161.31,39745.18,48577.44,high,Legendary,A+,Low,0.45,1409,ratio_chain,https://gpovalues.com/item/bunyo-the-bunny,https://gpovalues.com/images/Bunyo%20The%20Bunny.webp,2026-09-03T05:30:50.111226+00:00,76168,bunyo the bunny,Bunyo The Bunny,,,A+,7.0,Mid Tier,2.0,,,,,,,,False,21.7,True
world-ender,World Ender,WE,44402.52,39962.27,48842.77,high,Legendary,A+,Stable,1.05,2523,ratio_chain,https://gpovalues.com/item/world-ender,https://gpovalues.com/images/World%20Ender.webp,2026-09-03T05:30:50.111226+00:00,76168,world ender,World Ender,WE,,A+,7.0,Mid Tier,2.0,,,,,,,,False,21.7,True
flower-bouquet,Flower Bouquet,FB,42543.87,38289.48,46798.25,high,Legendary,A+,Low,0.66,1242,ratio_chain,https://gpovalues.com/item/flower-bouquet,https://gpovalues.com/images/Flower%20Bouquet.webp,2026-09-03T05:30:50.111226+00:00,76168,flower bouquet,Flower Bouquet,Bouquet,Support Weapon,A+,7.0,Mid Tier,2.0,UNOB,True,False,Stable Demand,2.0,9.0,7.0,True,34.0,True
snowcap-scepter,Snowcap Scepter,SCEP,34000.0,27200.0,40800.0,low,Legendary,A+,Low,0.44,122,ratio_chain,https://gpovalues.com/item/snowcap-scepter,https://gpovalues.com/images/Snowcap%20Scepter.webp,2026-09-03T05:30:50.111226+00:00,76168,snowcap scepter,Snowcap Scepter,,,A+,7.0,Mid Tier,2.0,,,,,,,,False,21.7,True
leopard,Leopard,LEO,42291.45,38062.31,46520.6,high,Mythical,NEW,High,1.77,2482,ratio_chain,https://gpovalues.com/item/leopard,https://gpovalues.com/images/Leopard.webp,2026-09-03T05:30:50.111226+00:00,76168,leopard,,,,,,,,,,,,,,,,,False
troll-face,Troll Face,TF,38313.45,30650.76,45976.14,low,Epic,VERY_UNSTABLE,Low,0.62,160,ratio_chain,https://gpovalues.com/item/troll-face,https://gpovalues.com/images/Troll%20Face.webp,2026-09-03T05:30:50.111226+00:00,76168,troll face,Troll Face,,,A+,7.0,Mid Tier,2.0,,,,,,,,False,21.7,True
blessed-cupid-queens-scarf,Blessed Cupid Queen's Scarf,BSCARF,36698.81,29359.05,44038.58,low,Collectable,A+,Low,0.26,112,ratio_chain,https://gpovalues.com/item/blessed-cupid-queens-scarf,https://gpovalues.com/images/Blessed%20Cupid%20Queen%27s%20Scarf.webp,2026-09-03T05:30:50.111226+00:00,76168,blessed cupid queen's scarf,Blessed Cupid Queen's Scarf,BSCARF,,A+,7.0,Mid Tier,2.0,,,,,,,,False,21.7,True
blessed-cupids-bow,Blessed Cupid's Bow,BBOW,33438.33,26750.67,40126.0,low,Collectable,A,Low,0.34,99,ratio_chain,https://gpovalues.com/item/blessed-cupids-bow,https://gpovalues.com/images/Blessed%20Cupid%27s%20Bow.webp,2026-09-03T05:30:50.111226+00:00,76168,blessed cupid's bow,Blessed Cupid's Bow,BBOW,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
soul-cleaver,Soul Cleaver,NAPO,32848.06,29563.25,36132.86,high,Mythical,A+,Low,0.68,1902,ratio_chain,https://gpovalues.com/item/soul-cleaver,https://gpovalues.com/images/Soul%20Cleaver.webp,2026-09-03T05:30:50.111226+00:00,76168,soul cleaver,Soul Cleaver,NAPOLEON,,A+,7.0,Low Tier,1.0,,,,,,,,False,21.7,True
dragon,Dragon,DRAGON,30903.09,27812.78,33993.4,high,Mythical,A+,Stable,1.43,6362,ratio_chain,https://gpovalues.com/item/dragon,https://gpovalues.com/images/Ryu%20Ryu%20no%20Mi%2C%20Model%20Pteranodon.webp,2026-09-03T05:30:50.111226+00:00,76168,dragon,,,,,,,,,,,,,,,,,False
toji-event-item,Toji (event item),TOJI,23947.6,21552.84,26342.36,high,Legendary,,Low,0.5,1012,ratio_chain,https://gpovalues.com/item/toji-event-item,https://gpovalues.com/images/Inverted%20Spear%20Of%20Heaven.webp,2026-09-03T05:30:50.111226+00:00,76168,toji (event item),,,,,,,,,,,,,,,,,False
inverted-spear-of-heaven,Inverted Spear Of Heaven,ISOH,20729.94,17620.45,23839.44,medium,,A+,Low,0.22,661,ratio_chain,https://gpovalues.com/item/inverted-spear-of-heaven,https://gpovalues.com/images/Inverted%20Spear%20Of%20Heaven.webp,2026-09-03T05:30:50.111226+00:00,76168,inverted spear of heaven,Inverted Spear Of Heaven,ISOH,,A+,7.0,Low Tier,1.0,,,,,,,,False,21.7,True
devil-fruit-rod,Devil Fruit Rod,DFR,20247.69,18222.93,22272.47,high,Mythical,A,Low,0.49,5445,ratio_chain,https://gpovalues.com/item/devil-fruit-rod,https://gpovalues.com/images/Devil%20Fruit%20Rod.webp,2026-09-03T05:30:50.111226+00:00,76168,devil fruit rod,Devil Fruit Rod,DF ROD,Utility Tool,A,6.0,High Tier,3.0,CRAFTING,False,False,High Demand,3.0,7.0,9.0,True,34.0,True
hollows-world-ender,Hollow's World Ender,HWE,20807.85,18727.06,22888.64,high,Collectable,A,Low,0.55,3304,ratio_chain,https://gpovalues.com/item/hollows-world-ender,https://gpovalues.com/images/World%20Ender.webp,2026-09-03T05:30:50.111226+00:00,76168,hollow's world ender,Hollow's World Ender,HWE,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
blessed-exalted-cupid-queen-outfit,Blessed Exalted Cupid Queen Outfit,BQFIT,20000.0,16000.0,24000.0,low,,A-,Low,0.61,66,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queen-outfit,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%20Outfit.webp,2026-09-03T05:30:50.111226+00:00,76168,blessed exalted cupid queen outfit,Blessed Exalted Cupid Queen Outfit,BQFIT,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
time-rift-capsule,Time-Rift Capsule,TRC,18498.59,16648.73,20348.45,high,Epic,A,Low,0.18,1517,ratio_chain,https://gpovalues.com/item/time-rift-capsule,https://gpovalues.com/images/Time-Rift%20Capsule.webp,2026-09-03T05:30:50.111226+00:00,76168,time-rift capsule,Time-Rift Capsule,,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
sickle-of-sorrow,Sickle of Sorrow,SOS,17000.0,15300.0,18700.0,high,Legendary,A,Low,0.42,3513,ratio_chain,https://gpovalues.com/item/sickle-of-sorrow,https://gpovalues.com/images/Sickle%20of%20Sorrow.webp,2026-09-03T05:30:50.111226+00:00,76168,sickle of sorrow,Sickle of Sorrow,,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
kikoku,Kikoku,KIKO,17926.03,16133.43,19718.65,high,Mythical,A,Low,0.53,3980,ratio_chain,https://gpovalues.com/item/kikoku,https://gpovalues.com/images/Kikoku.webp,2026-09-03T05:30:50.111226+00:00,76168,kikoku,Kikoku,Kikoku,Mythical Weapon,A,6.0,High Tier,3.0,DROP,False,False,Stable Demand,2.0,7.0,7.0,True,30.0,True
dark-blade,Dark Blade,DB,16895.7,15206.13,18585.27,high,Mythical,A,Stable,0.92,8944,ratio_chain,https://gpovalues.com/item/dark-blade,https://gpovalues.com/images/Dark%20Blade.webp,2026-09-03T05:30:50.111226+00:00,76168,dark blade,Dark Blade,DB / Yoru,Mythical Weapon,A,6.0,High Tier,3.0,DROP,False,False,Stable Demand,2.0,7.0,8.0,True,31.0,True
coyote-outfit,Coyote Outfit,CO,14549.95,13094.95,16004.94,high,Legendary,A,Low,0.49,1296,ratio_chain,https://gpovalues.com/item/coyote-outfit,https://gpovalues.com/images/Coyote%20Outfit.webp,2026-09-03T05:30:50.111226+00:00,76168,coyote outfit,Coyote Outfit,,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
stark-guns,Stark Guns,SGUNS,13502.29,11476.95,15527.63,medium,Legendary,A,Low,0.16,569,ratio_chain,https://gpovalues.com/item/stark-guns,https://gpovalues.com/images/Stark%20Gun.webp,2026-09-03T05:30:50.111226+00:00,76168,stark guns,Stark Guns,SGUNS,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
hover-pod,Hover Pod,HPOD,14024.1,12621.67,15426.51,high,Epic,A,Low,0.44,4168,ratio_chain,https://gpovalues.com/item/hover-pod,https://gpovalues.com/images/Hover%20Pod.webp,2026-09-03T05:30:50.111226+00:00,76168,hover pod,Hover Pod,HPOD,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
resurrected-baals-head,Resurrected Ba'al's Head,RESHEAD,12999.29,11699.36,14299.21,high,Legendary,A,Low,0.43,3475,ratio_chain,https://gpovalues.com/item/resurrected-baals-head,https://gpovalues.com/images/Resurrected%20Ba%27al%27s%20Head.webp,2026-09-03T05:30:50.111226+00:00,76168,resurrected ba'al's head,Resurrected Ba'al's Head,RES HEAD,,A,6.0,High Tier,3.0,,,,,,,,False,18.6,True
nightfall-shroud,Nightfall Shroud,NFS,13811.07,12429.96,15192.19,high,Collectable,A,Low,0.61,1655,ratio_chain,https://gpovalues.com/item/nightfall-shroud,https://gpovalues.com/images/Nightfall%20Shroud.webp,2026-09-03T05:30:50.111226+00:00,76168,nightfall shroud,Nightfall Shroud,NFS,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
hopiyo-the-bunny,Hopiyo The Bunny,HB,12589.14,11330.22,13848.04,high,Legendary,,Low,0.56,1466,ratio_chain,https://gpovalues.com/item/hopiyo-the-bunny,,2026-09-03T05:30:50.111226+00:00,76168,hopiyo the bunny,,,,,,,,,,,,,,,,,False
dark-skeletal-shark-mask,Dark Skeletal Shark Mask,DSSM,11801.62,10031.38,13571.86,medium,Legendary,A,Low,0.37,678,ratio_chain,https://gpovalues.com/item/dark-skeletal-shark-mask,https://gpovalues.com/images/Dark%20Skeletal%20Shark%20Mask.webp,2026-09-03T05:30:50.111226+00:00,76168,dark skeletal shark mask,Dark Skeletal Shark Mask,,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
mega-pow,Mega-Pow,MP,11885.82,10697.24,13074.41,high,Legendary,A-,Stable,1.2,1652,ratio_chain,https://gpovalues.com/item/mega-pow,https://gpovalues.com/images/Mega-Pow.webp,2026-09-03T05:30:50.111226+00:00,76168,mega-pow,,,,,,,,,,,,,,,,,False
mythical-fruit-chest,Mythical Fruit Chest,MC,13225.0,11902.5,14547.5,high,Mythical,A,High,2.32,25998,ratio_chain,https://gpovalues.com/item/mythical-fruit-chest,https://gpovalues.com/images/Mythical%20Fruit%20Chest.webp,2026-09-03T05:30:50.111226+00:00,76168,mythical fruit chest,,,,,,,,,,,,,,,,,False
exalted-cupid-queens-wings,Exalted Cupid Queen's Wings,EWINGS,9025.58,7671.74,10379.4,medium,Legendary,A,Low,0.88,359,ratio_chain,https://gpovalues.com/item/exalted-cupid-queens-wings,https://gpovalues.com/images/Exalted%20Cupid%20Queen%27s%20Wings.webp,2026-09-03T05:30:50.111226+00:00,76168,exalted cupid queen's wings,,,,,,,,,,,,,,,,,False
inferno-rocket-blade,Inferno Rocket Blade,IRB,8021.41,6818.2,9224.62,medium,Legendary,A-,Low,0.31,452,ratio_chain,https://gpovalues.com/item/inferno-rocket-blade,https://gpovalues.com/images/Inferno%20Rocket%20Blade.webp,2026-09-03T05:30:50.111226+00:00,76168,inferno rocket blade,Inferno Rocket Blade,IRB,,A,6.0,Mid Tier,2.0,,,,,,,,False,18.6,True
kaido,Kaido,KAIDO,7351.34,5881.07,8821.61,low,,NEW,Stable,1.05,191,ratio_chain,https://gpovalues.com/item/kaido,https://gpovalues.com/images/Kaido.webp,2026-09-03T05:30:50.111226+00:00,76168,kaido,,,,,,,,,,,,,,,,,False
head-of-baal,Head of Ba'al,HB,7080.0,6018.0,8142.0,medium,Legendary,A-,Low,0.86,412,ratio_chain,https://gpovalues.com/item/head-of-baal,https://gpovalues.com/images/Head%20of%20Ba%27al.webp,2026-09-03T05:30:50.111226+00:00,76168,head of ba'al,Head of Ba'al,,,A,6.0,Mid Tier,2.0,,,,,,,,False,18.6,True
mochi,Mochi,MOCHI,6627.83,5965.04,7290.61,high,Mythical,A-,Low,0.67,4843,ratio_chain,https://gpovalues.com/item/mochi,https://gpovalues.com/images/Mochi%20Mochi%20no%20Mi%20%28Mochi-Mochi%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,mochi,,,,,,,,,,,,,,,,,False
firework-lancer,Firework Lancer,FL,6328.95,5379.61,7278.3,medium,Legendary,A-,Low,0.21,531,ratio_chain,https://gpovalues.com/item/firework-lancer,https://gpovalues.com/images/Firework%20Lancer.webp,2026-09-03T05:30:50.111226+00:00,76168,firework lancer,Firework Lancer,FL,,A,6.0,Mid Tier,2.0,,,,,,,,False,18.6,True
odm-rod,ODM Rod,OR,6618.3,5294.64,7941.96,low,Rare,A-,Low,0.31,126,ratio_chain,https://gpovalues.com/item/odm-rod,https://gpovalues.com/images/ODM%20Rod.webp,2026-09-03T05:30:50.111226+00:00,76168,odm rod,ODM Rod,,,B+,4.0,Low Tier,1.0,,,,,,,,False,12.4,True
soul,Soul,SOUL,5480.21,4932.2,6028.23,high,Mythical,A-,Low,0.66,3777,ratio_chain,https://gpovalues.com/item/soul,https://gpovalues.com/images/Soul.webp,2026-09-03T05:30:50.111226+00:00,76168,soul,,,,,,,,,,,,,,,,,False
nightfall-half-shroud,Nightfall Half Shroud,NFHS,5167.29,4392.2,5942.38,medium,Collectable,A-,Low,0.45,494,ratio_chain,https://gpovalues.com/item/nightfall-half-shroud,https://gpovalues.com/images/Nightfall%20Half%20Shroud.webp,2026-09-03T05:30:50.111226+00:00,76168,nightfall half shroud,Nightfall Half Shroud,NFHS,,A,6.0,Mid Tier,2.0,,,,,,,,False,18.6,True
venom,Venom,VENOM,5328.12,4795.31,5860.94,high,Mythical,A-,Low,0.69,4013,ratio_chain,https://gpovalues.com/item/venom,https://gpovalues.com/images/Doku%20Doku%20No%20Mi%20%28Poison%20Poison%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,venom,,,,,,,,,,,,,,,,,False
soul-kings-guitar,Soul King's Guitar,SKG,5640.14,5076.12,6204.15,high,Legendary,A-,Stable,1.15,2003,ratio_chain,https://gpovalues.com/item/soul-kings-guitar,https://gpovalues.com/images/Soul%20King%27s%20Guitar.webp,2026-09-03T05:30:50.111226+00:00,76168,soul king's guitar,Soul King's Guitar,SKG,,A,6.0,Mid Tier,2.0,,,,,,,,False,18.6,True
biscuit,Biscuit,BISC,5183.21,4405.73,5960.69,medium,Legendary,NEW,Stable,1.0,828,ratio_chain,https://gpovalues.com/item/biscuit,https://gpovalues.com/images/Biscuit.webp,2026-09-03T05:30:50.111226+00:00,76168,biscuit,,,,,,,,,,,,,,,,,False
virtuous-cupid-queens-wings,Virtuous Cupid Queen's Wings,VCQW,6178.87,5252.04,7105.7,medium,Legendary,B+,High,3.38,407,ratio_chain,https://gpovalues.com/item/virtuous-cupid-queens-wings,https://gpovalues.com/images/Virtuous%20Cupid%20Queen%27s%20Wings.webp,2026-09-03T05:30:50.111226+00:00,76168,virtuous cupid queen's wings,,,,,,,,,,,,,,,,,False
cupid-queens-wings,Cupid Queen's Wings,QWINGS,5727.61,4868.47,6586.74,medium,Legendary,A-,Stable,1.11,673,ratio_chain,https://gpovalues.com/item/cupid-queens-wings,https://gpovalues.com/images/Cupid%20Queen%27s%20Wings.webp,2026-09-03T05:30:50.111226+00:00,76168,cupid queen's wings,Cupid Queen's Wings,QWINGS,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
tori,Tori,TORI,3895.44,3505.89,4284.98,high,Mythical,A-,Low,0.56,3330,ratio_chain,https://gpovalues.com/item/tori,https://gpovalues.com/images/Tori%20Tori%20no%20Mi%2C%20Model%20Phoenix.webp,2026-09-03T05:30:50.111226+00:00,76168,tori,,,,,,,,,,,,,,,,,False
